ensembl	biotype	gene_id	chr	start	stop
ENSMUSG00000084684	misc_RNA	7SK	3	14029482	14029762
ENSMUSG00000086224	lincRNA	2700069I18Rik	3	5177586	5220841
ENSMUSG00000087108	antisense	Gm16093	3	19127780	19140987
ENSMUSG00000087858	snoRNA	SNORA17	3	10975469	10975586
ENSMUSG00000087893	snRNA	U6atac	3	17703621	17703747
ENSMUSG00000088004	rRNA	5S_rRNA	3	9829620	9829728
ENSMUSG00000088094	snoRNA	SNORA17	3	8679359	8679477
ENSMUSG00000088229	misc_RNA	7SK	3	9402175	9402485
ENSMUSG00000088378	snRNA	U1	2	181247255	181247417
ENSMUSG00000088484	snoRNA	SNORA17	3	7501904	7502020
ENSMUSG00000088541	snoRNA	SNORA48	3	17151301	17151444
ENSMUSG00000088546	misc_RNA	7SK	3	13845686	13845980
ENSMUSG00000088644	snRNA	U6	3	16723249	16723312
ENSMUSG00000088874	misc_RNA	RNaseP_nuc	3	16015615	16015943
ENSMUSG00000089149	misc_RNA	7SK	3	19230773	19231084
ENSMUSG00000089220	snoRNA	SNORA17	3	6977268	6977380
ENSMUSG00000089231	snoRNA	SNORA17	3	14267315	14267439
ENSMUSG00000089287	snoRNA	SNORA38	3	4567203	4567335
ENSMUSG00000089794	lincRNA	Gm16337	3	9757607	9786142
ENSMUSG00000089917	protein_coding	Uckl1	2	181303854	181319597
ENSMUSG00000090300	pseudogene	Gm17119	3	14564402	14564681
ENSMUSG00000091223	pseudogene	Gm8775	3	4211716	4212228
ENSMUSG00000093073	miRNA	Mir124a-2	3	17695662	17695770
ENSMUSG00000093557	lincRNA	4930555M17Rik	3	5512995	5515333
ENSMUSG00000011463	protein_coding	Cpb1	3	20148163	20174655
ENSMUSG00000027630	protein_coding	Tbl1xr1	3	21975574	22115516
ENSMUSG00000027660	protein_coding	Skil	3	30993980	31021499
ENSMUSG00000027663	protein_coding	Zmat3	3	32233718	32264600
ENSMUSG00000027665	protein_coding	Pik3ca	3	32296593	32367408
ENSMUSG00000027667	protein_coding	Zfp639	3	32414217	32419607
ENSMUSG00000027668	protein_coding	Mfn1	3	32428387	32478161
ENSMUSG00000027669	protein_coding	Gnb4	3	32479254	32515507
ENSMUSG00000027671	protein_coding	Actl6a	3	32607468	32625890
ENSMUSG00000027673	protein_coding	Ndufb5	3	32635912	32650488
ENSMUSG00000027674	protein_coding	Pex5l	3	32848553	33042169
ENSMUSG00000027676	protein_coding	Ccdc39	3	33711284	33743232
ENSMUSG00000027677	protein_coding	Ttc14	3	33698877	33713782
ENSMUSG00000027679	protein_coding	Dnajc19	3	33954942	33980243
ENSMUSG00000027680	protein_coding	Fxr1	3	33919001	33968264
ENSMUSG00000027684	protein_coding	Mecom	3	29850221	30446930
ENSMUSG00000027690	protein_coding	Slc2a2	3	28596825	28627278
ENSMUSG00000027692	protein_coding	Tnik	3	28162136	28574780
ENSMUSG00000027695	protein_coding	Pld1	3	27837602	28032284
ENSMUSG00000027698	protein_coding	Nceh1	3	27081887	27183530
ENSMUSG00000027699	protein_coding	Ect2	3	26996144	27052800
ENSMUSG00000027702	protein_coding	Lrrc34	3	30523189	30546791
ENSMUSG00000027703	protein_coding	Lrriq4	3	30543429	30571353
ENSMUSG00000027706	protein_coding	Sec62	3	30691798	30720185
ENSMUSG00000027708	protein_coding	Dcun1d1	3	35791900	35836367
ENSMUSG00000027709	protein_coding	Mccc1	3	35858234	35899600
ENSMUSG00000037400	protein_coding	Atp11b	3	35653056	35755196
ENSMUSG00000037531	protein_coding	Mrpl47	3	32624319	32636069
ENSMUSG00000037610	protein_coding	Kcnmb2	3	31801429	32099102
ENSMUSG00000037625	protein_coding	Cldn11	3	31048868	31063246
ENSMUSG00000037643	protein_coding	Prkci	3	30894669	30951663
ENSMUSG00000037652	protein_coding	Phc3	3	30798217	30868337
ENSMUSG00000037661	protein_coding	Gpr160	3	30754872	30796114
ENSMUSG00000037730	protein_coding	Mynn	3	30501009	30517414
ENSMUSG00000037737	protein_coding	Arpm1	3	30495995	30498861
ENSMUSG00000039221	protein_coding	Rpl22l1	3	28704358	28706274
ENSMUSG00000039286	protein_coding	Fndc3b	3	27315084	27610229
ENSMUSG00000039304	protein_coding	Tnfsf10	3	27215950	27241349
ENSMUSG00000039335	protein_coding	Spata16	3	26536542	26882134
ENSMUSG00000039617	pseudogene	Gm7488	3	20948487	20949170
ENSMUSG00000043164	protein_coding	Tmem212	3	27764988	27795290
ENSMUSG00000044434	pseudogene	Gm9791	3	33903939	33904385
ENSMUSG00000050192	protein_coding	Eif5a2	3	28680233	28697768
ENSMUSG00000051136	protein_coding	Ghsr	3	27270273	27276932
ENSMUSG00000051860	protein_coding	Samd7	3	30645215	30666096
ENSMUSG00000054988	protein_coding	Agtr1b	3	20213395	20266099
ENSMUSG00000056900	protein_coding	Usp13	3	32716468	32836993
ENSMUSG00000057036	protein_coding	Gm7536	3	24231969	24232474
ENSMUSG00000063600	protein_coding	Egfem1	3	28980945	29590126
ENSMUSG00000063887	protein_coding	Nlgn1	3	25330733	26032656
ENSMUSG00000064834	snRNA	U6	3	35634295	35634399
ENSMUSG00000065361	misc_RNA	Telomerase-vert	3	30494268	30494679
ENSMUSG00000069072	protein_coding	Slc7a14	3	31101832	31209300
ENSMUSG00000069074	protein_coding	Gm10258	3	30166747	30168869
ENSMUSG00000069083	pseudogene	Gm10259	3	25109938	25111352
ENSMUSG00000070227	snRNA	U6	3	24460996	24461102
ENSMUSG00000070522	protein_coding	Gm6505	3	28662453	28664314
ENSMUSG00000074637	protein_coding	Sox2	3	34548927	34551383
ENSMUSG00000074653	protein_coding	Lrrc31	3	30577980	30598765
ENSMUSG00000074655	protein_coding	Gm1527	3	28791539	28825646
ENSMUSG00000074664	protein_coding	A830092H15Rik	3	26230072	26231300
ENSMUSG00000076120	miRNA	Mir551b	3	29315745	29315842
ENSMUSG00000077559	snoRNA	SNORA17	3	33857991	33858122
ENSMUSG00000080368	miRNA	AC107456.1	3	26525107	26525233
ENSMUSG00000081883	pseudogene	Gm15574	3	32778933	32779530
ENSMUSG00000084530	miRNA	Mir1897	3	34537386	34537464
ENSMUSG00000084665	snRNA	U4	3	32910880	32911036
ENSMUSG00000085655	antisense	Gm15952	3	35831967	35841639
ENSMUSG00000085702	antisense	Gm16722	3	29911301	29952107
ENSMUSG00000085953	lincRNA	Gm15496	3	31184509	31215813
ENSMUSG00000086189	antisense	Gm15462	3	30585007	30591288
ENSMUSG00000087625	antisense	4930419G24Rik	3	32923699	32987529
ENSMUSG00000087742	snoRNA	SNORA17	3	27007904	27008017
ENSMUSG00000087775	misc_RNA	RNaseP_nuc	3	22150296	22150585
ENSMUSG00000087945	rRNA	5S_rRNA	3	25444942	25445076
ENSMUSG00000088115	misc_RNA	7SK	3	24617638	24617903
ENSMUSG00000088260	snoRNA	SNORA48	3	33291979	33292121
ENSMUSG00000088772	snoRNA	SNORA81	3	27767035	27767195
ENSMUSG00000088846	snoRNA	SNORA17	3	22308845	22308973
ENSMUSG00000091091	protein_coding	Kcnmb3	3	32371243	32390891
ENSMUSG00000091329	processed_transcript	1700112D23Rik	3	28601589	28680030
ENSMUSG00000092196	lincRNA	Gm20446	3	34197440	34221211
ENSMUSG00000092242	lincRNA	Gm20515	3	34326295	34334019
ENSMUSG00000092695	miRNA	Mir3092	3	27483822	27483917
ENSMUSG00000092990	miRNA	Mir446q	3	28318865	28318940
ENSMUSG00000093499	miRNA	AC158547.1	3	35224536	35224627
ENSMUSG00000023087	protein_coding	Ccrn4l	3	51028369	51055566
ENSMUSG00000025757	protein_coding	Hspa4l	3	40548417	40600025
ENSMUSG00000025758	protein_coding	Plk4	3	40603941	40620805
ENSMUSG00000025759	protein_coding	Mfsd8	3	40621992	40650807
ENSMUSG00000025762	protein_coding	Larp1b	3	40825861	40844156
ENSMUSG00000025764	protein_coding	Phf17	3	41359656	41420784
ENSMUSG00000025766	protein_coding	D3Ertd751e	3	41546533	41563311
ENSMUSG00000027709	protein_coding	Mccc1	3	35858234	35899600
ENSMUSG00000027710	protein_coding	Acad9	3	35964901	35993866
ENSMUSG00000027712	protein_coding	Anxa5	3	36347847	36374765
ENSMUSG00000027713	protein_coding	1810062G17Rik	3	36375057	36380898
ENSMUSG00000027714	protein_coding	Exosc9	3	36451528	36464651
ENSMUSG00000027715	protein_coding	Ccna2	3	36463788	36471072
ENSMUSG00000027716	protein_coding	Trpc3	3	36519404	36589089
ENSMUSG00000027718	protein_coding	Il21	3	37121681	37131540
ENSMUSG00000027719	protein_coding	Adad1	3	36962449	37020846
ENSMUSG00000027720	protein_coding	Il2	3	37019445	37024881
ENSMUSG00000027722	protein_coding	Spata5	3	37318818	37478018
ENSMUSG00000027737	protein_coding	Slc7a11	3	50168858	50247535
ENSMUSG00000027739	protein_coding	Rab33b	3	51287888	51299827
ENSMUSG00000033883	protein_coding	D3Ertd254e	3	36058444	36065142
ENSMUSG00000037111	protein_coding	Setd7	3	51319241	51364800
ENSMUSG00000037152	protein_coding	Ndufc1	3	51208599	51212910
ENSMUSG00000037161	protein_coding	4930583H14Rik	3	51192337	51200660
ENSMUSG00000037174	protein_coding	Elf2	3	51059153	51144580
ENSMUSG00000037211	protein_coding	Spry1	3	37538869	37543520
ENSMUSG00000037225	protein_coding	Fgf2	3	37211441	37304299
ENSMUSG00000037270	protein_coding	4932438A13Rik	3	36762028	36951955
ENSMUSG00000037325	protein_coding	Bbs7	3	36472064	36512399
ENSMUSG00000037818	protein_coding	3110057O12Rik	3	40650892	40742060
ENSMUSG00000037884	protein_coding	1700017G19Rik	3	40403806	40421834
ENSMUSG00000037892	protein_coding	Pcdh18	3	49547218	49561238
ENSMUSG00000037910	protein_coding	1700018B24Rik	3	48409654	48413023
ENSMUSG00000044864	protein_coding	Ankrd50	3	38348183	38383766
ENSMUSG00000045031	protein_coding	Cetn4	3	37206671	37211630
ENSMUSG00000046743	protein_coding	Fat4	3	38785862	38910907
ENSMUSG00000047696	protein_coding	Ccdc144b	3	35906169	35952469
ENSMUSG00000049100	protein_coding	Pcdh10	3	45182320	45238488
ENSMUSG00000049940	protein_coding	Pgrmc2	3	40870248	40886968
ENSMUSG00000050174	protein_coding	Nudt6	3	37303832	37319133
ENSMUSG00000050533	pseudogene	Gm9845	3	39257180	39257827
ENSMUSG00000051444	protein_coding	Bbs12	3	37211476	37220375
ENSMUSG00000054779	lincRNA	Gm12541	3	37234254	37248662
ENSMUSG00000058174	protein_coding	Gm5148	3	37613112	37623412
ENSMUSG00000058400	protein_coding	Qrfpr	3	36078346	36121197
ENSMUSG00000059834	protein_coding	Sclt1	3	41430639	41546436
ENSMUSG00000060798	protein_coding	Intu	3	40430208	40508696
ENSMUSG00000063273	protein_coding	Naa15	3	51219938	51279907
ENSMUSG00000064579	snRNA	U1	3	45621658	45621820
ENSMUSG00000064927	snRNA	U1	3	40796615	40796772
ENSMUSG00000065018	snRNA	U1	3	48758644	48758807
ENSMUSG00000065381	snRNA	U6	3	49462685	49462791
ENSMUSG00000065945	snRNA	U1	3	39565210	39565369
ENSMUSG00000069041	protein_coding	Slc25a31	3	40512777	40529515
ENSMUSG00000072387	pseudogene	Gm10356	3	46854304	46855563
ENSMUSG00000074604	protein_coding	Mgst2	3	51464282	51486597
ENSMUSG00000074619	protein_coding	1700034I23Rik	3	40704121	40706465
ENSMUSG00000074620	protein_coding	Gm10731	3	40657398	40659203
ENSMUSG00000076385	miRNA	AC114901.1	3	38457031	38457136
ENSMUSG00000077256	snoRNA	SNORA17	3	46093755	46093886
ENSMUSG00000077420	miRNA	AC161183.1	3	51101101	51101166
ENSMUSG00000077728	snoRNA	SNORA17	3	37894027	37894157
ENSMUSG00000080723	pseudogene	Gm12564	3	37455105	37455425
ENSMUSG00000081093	pseudogene	Gm12565	3	37498346	37498994
ENSMUSG00000081705	pseudogene	Gm12582	3	36976577	36977273
ENSMUSG00000082548	pseudogene	Gm12377	3	36593724	36593975
ENSMUSG00000082878	pseudogene	Gm12583	3	37007096	37007948
ENSMUSG00000083353	pseudogene	Gm12540	3	37225994	37226312
ENSMUSG00000083388	pseudogene	Gm11550	3	36438305	36439003
ENSMUSG00000083857	pseudogene	Gm12584	3	37015656	37016760
ENSMUSG00000084027	pseudogene	Gm12376	3	36723274	36723880
ENSMUSG00000084517	snoRNA	SNORA66	3	49295273	49295400
ENSMUSG00000084754	lincRNA	Gm12532	3	37081807	37087515
ENSMUSG00000085007	lincRNA	Gm11549	3	36413979	36420735
ENSMUSG00000085320	lincRNA	Gm11548	3	36398726	36405731
ENSMUSG00000085677	lincRNA	4930594O21Rik	3	37512835	37514198
ENSMUSG00000086090	antisense	Gm12531	3	36951137	36958957
ENSMUSG00000086181	lincRNA	C230034O21Rik	3	38773492	38787181
ENSMUSG00000086392	antisense	A330050B17Rik	3	35898755	35924028
ENSMUSG00000086517	antisense	Gm12534	3	37130255	37131391
ENSMUSG00000087440	antisense	4930577N17Rik	3	51081493	51083727
ENSMUSG00000087457	pseudogene	Gm7799	3	37858534	37859009
ENSMUSG00000088535	snRNA	U6	3	44787122	44787226
ENSMUSG00000088739	snoRNA	SNORA17	3	47004549	47004686
ENSMUSG00000089079	snoRNA	SNORA17	3	50642503	50642637
ENSMUSG00000089123	snoRNA	SNORA17	3	37701466	37701574
ENSMUSG00000089251	misc_RNA	7SK	3	43729491	43729786
ENSMUSG00000089350	snoRNA	SNORD22	3	41245265	41245389
ENSMUSG00000089520	snoRNA	SNORA17	3	39698554	39698638
ENSMUSG00000089584	snRNA	U6	3	45782500	45782617
ENSMUSG00000089932	pseudogene	Gm16114	3	40462789	40463088
ENSMUSG00000090919	protein_coding	Pabpc4l	3	46246119	46251863
ENSMUSG00000092891	miRNA	AC163023.1	3	40417740	40417813
ENSMUSG00000092986	misc_RNA	AC162799.1	3	38166760	38167006
ENSMUSG00000027694	protein_coding	Gm8325	3	60680934	60682761
ENSMUSG00000027742	protein_coding	Cog6	3	52786045	52821145
ENSMUSG00000027744	protein_coding	Stoml3	3	53292649	53312424
ENSMUSG00000027746	protein_coding	Ufm1	3	53659134	53667752
ENSMUSG00000027748	protein_coding	Trpc4	3	53959979	54122389
ENSMUSG00000027750	protein_coding	Postn	3	54165031	54194961
ENSMUSG00000027751	protein_coding	Fam48a	3	54497027	54532684
ENSMUSG00000027752	protein_coding	Exosc8	3	54532600	54539315
ENSMUSG00000027761	protein_coding	Aadac	3	59835685	59844082
ENSMUSG00000027762	protein_coding	Sucnr1	3	59885791	59891488
ENSMUSG00000027763	protein_coding	Mbnl1	3	60277032	60433670
ENSMUSG00000027765	protein_coding	P2ry1	3	60806717	60812901
ENSMUSG00000027770	protein_coding	Dhx36	3	62273961	62310926
ENSMUSG00000027793	protein_coding	Ccna1	3	54849391	54858977
ENSMUSG00000027794	protein_coding	Sohlh2	3	54985950	55013879
ENSMUSG00000027796	protein_coding	Smad9	3	54559504	54605179
ENSMUSG00000027797	protein_coding	Dclk1	3	55046448	55342986
ENSMUSG00000027799	protein_coding	Nbea	3	55429127	55987623
ENSMUSG00000027800	protein_coding	Tm4sf1	3	57089533	57105841
ENSMUSG00000027801	protein_coding	Tm4sf4	3	57229236	57245599
ENSMUSG00000027803	protein_coding	Wwtr1	3	57259571	57379832
ENSMUSG00000027805	protein_coding	Pfn2	3	57645817	57651486
ENSMUSG00000027806	protein_coding	Tsc22d2	3	58219437	58270709
ENSMUSG00000027808	protein_coding	Serp1	3	58325891	58329795
ENSMUSG00000027810	protein_coding	Eif2a	3	58329743	58361423
ENSMUSG00000027820	protein_coding	Mme	3	63099794	63186153
ENSMUSG00000027822	protein_coding	Slc33a1	3	63737429	63768690
ENSMUSG00000027823	protein_coding	Gmps	3	63780028	63826501
ENSMUSG00000027824	protein_coding	Vmn2r1	3	63885564	63909380
ENSMUSG00000036334	protein_coding	Igsf10	3	59120657	59148178
ENSMUSG00000036353	protein_coding	P2ry12	3	59020193	59066753
ENSMUSG00000036362	protein_coding	P2ry13	3	59011818	59014804
ENSMUSG00000036381	protein_coding	P2ry14	3	58918548	58934546
ENSMUSG00000036432	protein_coding	Siah2	3	58478860	58496322
ENSMUSG00000036503	protein_coding	Rnf13	3	57539993	57639347
ENSMUSG00000036513	protein_coding	Commd2	3	57446826	57455637
ENSMUSG00000036580	protein_coding	Spg20	3	54916030	54941244
ENSMUSG00000036615	protein_coding	Rfxap	3	54607038	54611713
ENSMUSG00000036632	protein_coding	Alg5	3	54539461	54555049
ENSMUSG00000036834	protein_coding	Plch1	3	63500156	63703394
ENSMUSG00000036885	protein_coding	Arhgef26	3	62142266	62266143
ENSMUSG00000036894	protein_coding	Rap2b	3	61168429	61172625
ENSMUSG00000036951	protein_coding	C130079G13Rik	3	59729136	59741871
ENSMUSG00000037016	protein_coding	Frem2	3	53317861	53461277
ENSMUSG00000042997	protein_coding	Nhlrc3	3	53252510	53267245
ENSMUSG00000043441	protein_coding	Gpr149	3	62332999	62409062
ENSMUSG00000043850	protein_coding	Clrn1	3	58647950	58689262
ENSMUSG00000043897	protein_coding	Vmn2r2	3	63920354	63944465
ENSMUSG00000044167	protein_coding	Foxo1	3	52072259	52154031
ENSMUSG00000048332	protein_coding	Lhfp	3	52845450	53065601
ENSMUSG00000048581	protein_coding	E130311K13Rik	3	63718606	63733394
ENSMUSG00000048655	protein_coding	A730037C10Rik	3	54941261	54976857
ENSMUSG00000049504	protein_coding	2810046L04Rik	3	53267588	53285677
ENSMUSG00000050075	protein_coding	Gpr171	3	58900370	58905743
ENSMUSG00000051431	protein_coding	Gpr87	3	58982845	58999026
ENSMUSG00000053706	protein_coding	B430305J03Rik	3	61166172	61169873
ENSMUSG00000056306	protein_coding	6030405A18Rik	3	54700990	54719809
ENSMUSG00000056476	protein_coding	Med12l	3	58810900	59122332
ENSMUSG00000056947	protein_coding	Mab21l1	3	55586432	55589207
ENSMUSG00000059776	protein_coding	Gm10071	3	58791092	58913689
ENSMUSG00000061143	protein_coding	Maml3	3	51491533	51908813
ENSMUSG00000063001	pseudogene	Gm15450	3	37613662	37614100
ENSMUSG00000064586	snRNA	U6	3	55109239	55109345
ENSMUSG00000064904	snRNA	U6	3	55352368	55352474
ENSMUSG00000065070	rRNA	n-R5s196	3	51632834	51632950
ENSMUSG00000065722	snRNA	U6	3	58094173	58094279
ENSMUSG00000065926	snRNA	U6	3	52526571	52526677
ENSMUSG00000069008	pseudogene	Gm5537	3	57906916	57908169
ENSMUSG00000069011	pseudogene	Gm10254	3	54614486	54615172
ENSMUSG00000069014	pseudogene	Gm5641	3	54285388	54286461
ENSMUSG00000070465	protein_coding	Gm9696	3	59756231	59777516
ENSMUSG00000070471	protein_coding	Fam194a	3	58420222	58441129
ENSMUSG00000070490	protein_coding	Gm10293	3	52416707	52417938
ENSMUSG00000074589	protein_coding	4930449A18Rik	3	59582018	59642534
ENSMUSG00000074591	protein_coding	Gm410	3	57470407	57496459
ENSMUSG00000074603	protein_coding	Gm10729	3	51497693	51499012
ENSMUSG00000074604	protein_coding	Mgst2	3	51464282	51486597
ENSMUSG00000075700	protein_coding	2810407C02Rik	3	58380558	58397055
ENSMUSG00000077190	snoRNA	SNORA17	3	56858072	56858201
ENSMUSG00000077276	snoRNA	SNORA69	3	55760704	55760835
ENSMUSG00000077710	snoRNA	SNORA17	3	56249204	56249334
ENSMUSG00000078742	protein_coding	Gm10985	3	53649008	53649200
ENSMUSG00000080590	miRNA	AC111132.1	3	54966236	54966356
ENSMUSG00000083538	pseudogene	Gm16016	3	57332154	57332703
ENSMUSG00000084647	snRNA	U6	3	59931563	59931669
ENSMUSG00000085174	lincRNA	Gm16206	3	53256541	53261719
ENSMUSG00000085290	pseudogene	Gm16129	3	63647038	63647991
ENSMUSG00000087815	snRNA	U6	3	58779552	58779653
ENSMUSG00000087936	snoRNA	SNORA17	3	53315924	53316048
ENSMUSG00000088152	snRNA	U2	3	58782777	58782948
ENSMUSG00000088360	snRNA	U6	3	63574134	63574231
ENSMUSG00000088570	snRNA	U6	3	57726010	57726109
ENSMUSG00000088653	snRNA	U6	3	53647329	53647431
ENSMUSG00000088735	snoRNA	snoU109	3	64122329	64122486
ENSMUSG00000088957	snRNA	U6	3	63292915	63293020
ENSMUSG00000089039	snRNA	U6	3	63913557	63913659
ENSMUSG00000089175	snoRNA	SCARNA14	3	62956139	62956280
ENSMUSG00000090131	pseudogene	Gm16162	3	63629716	63630366
ENSMUSG00000090303	pseudogene	Gm9479	3	63856953	63859532
ENSMUSG00000090527	protein_coding	Gm5538	3	59533708	59556319
ENSMUSG00000091376	protein_coding	Aadacl2	3	59810665	59829342
ENSMUSG00000091572	protein_coding	Vmn2r3	3	64062883	64091417
ENSMUSG00000091967	pseudogene	Vmn2r-ps5	3	64143487	64161646
ENSMUSG00000092049	protein_coding	Vmn2r4	3	64192543	64219218
ENSMUSG00000092405	processed_transcript	Gm20402	3	52072357	52073357
ENSMUSG00000093395	pseudogene	Vmn2r-ps6	3	64240805	64242209
ENSMUSG00000093416	pseudogene	Gm18294	3	63999496	64017599
ENSMUSG00000093447	pseudogene	Gm5139	3	63967312	63967560
ENSMUSG00000093503	pseudogene	Vmn2r-ps4	3	64132582	64136775
ENSMUSG00000093546	pseudogene	Vmn2r-ps7	3	64246522	64247897
ENSMUSG00000093671	pseudogene	RP23-445D13.2	3	64251889	64264017
ENSMUSG00000027774	protein_coding	Gfm1	3	67234018	67280451
ENSMUSG00000027775	protein_coding	Mfsd1	3	67386690	67408153
ENSMUSG00000027776	protein_coding	Il12a	3	68494566	68502469
ENSMUSG00000027777	protein_coding	Schip1	3	67868864	68430404
ENSMUSG00000027778	protein_coding	Ift80	3	68696421	68808492
ENSMUSG00000027782	protein_coding	Kpna4	3	68871071	68931035
ENSMUSG00000027784	protein_coding	Ppm1l	3	69120783	69364724
ENSMUSG00000027787	protein_coding	Nmd3	3	69525907	69552964
ENSMUSG00000027788	protein_coding	Otol1	3	69811535	69832630
ENSMUSG00000027790	protein_coding	Sis	3	72692479	72771785
ENSMUSG00000027792	protein_coding	Bche	3	73439730	73512337
ENSMUSG00000027804	protein_coding	Ppid	3	79395264	79407572
ENSMUSG00000027809	protein_coding	Etfdh	3	79407710	79432785
ENSMUSG00000027811	protein_coding	4930579G24Rik	3	79433001	79436739
ENSMUSG00000027827	protein_coding	Kcnab1	3	64913306	65182145
ENSMUSG00000027828	protein_coding	Ssr3	3	65183577	65196545
ENSMUSG00000027829	protein_coding	Ccnl1	3	65750073	65762171
ENSMUSG00000027831	protein_coding	Veph1	3	65857483	66100759
ENSMUSG00000027832	protein_coding	Ptx3	3	66023809	66029728
ENSMUSG00000027833	protein_coding	Shox2	3	66775649	66785693
ENSMUSG00000027834	protein_coding	Serpini1	3	75361469	75447417
ENSMUSG00000027835	protein_coding	Pdcd10	3	75320412	75360778
ENSMUSG00000027955	protein_coding	Fam198b	3	79688455	79750202
ENSMUSG00000027956	protein_coding	Tmem144	3	79617070	79646584
ENSMUSG00000027995	protein_coding	Tlr2	3	83640195	83645689
ENSMUSG00000027996	protein_coding	Sfrp2	3	83570243	83578238
ENSMUSG00000027998	protein_coding	Plrg1	3	82859444	82876277
ENSMUSG00000028001	protein_coding	Fga	3	82830075	82838036
ENSMUSG00000028003	protein_coding	Lrat	3	82696501	82707895
ENSMUSG00000028004	protein_coding	Npy2r	3	82342305	82352008
ENSMUSG00000028005	protein_coding	Gucy1b3	3	81835926	81878633
ENSMUSG00000028008	protein_coding	Accn5	3	81786212	81825155
ENSMUSG00000028011	protein_coding	Tdo2	3	81761012	81780124
ENSMUSG00000028015	protein_coding	Ctso	3	81736523	81760647
ENSMUSG00000028019	protein_coding	Pdgfc	3	80840338	81017962
ENSMUSG00000028020	protein_coding	Glrb	3	80647521	80717582
ENSMUSG00000033767	protein_coding	D930015E06Rik	3	83702131	83844083
ENSMUSG00000033831	protein_coding	Fgb	3	82846169	82853725
ENSMUSG00000033860	protein_coding	Fgg	3	82811781	82818975
ENSMUSG00000033882	protein_coding	Rbm46	3	82641155	82680405
ENSMUSG00000033900	protein_coding	Mtap9	3	82161994	82199190
ENSMUSG00000033910	protein_coding	Gucy1a3	3	81896350	81949799
ENSMUSG00000033981	protein_coding	Gria2	3	80488858	80606713
ENSMUSG00000034009	protein_coding	Rxfp1	3	79448638	79541716
ENSMUSG00000034098	protein_coding	Fstl5	3	75878192	76513941
ENSMUSG00000034109	protein_coding	Golim4	3	75680105	75760871
ENSMUSG00000034139	protein_coding	Serpini2	3	75046292	75074000
ENSMUSG00000034151	protein_coding	Zbbx	3	74841829	74968956
ENSMUSG00000034317	protein_coding	Trim59	3	68839210	68848677
ENSMUSG00000034349	protein_coding	Smc4	3	68808660	68838545
ENSMUSG00000034544	protein_coding	Rsrc1	3	66785312	67162318
ENSMUSG00000034640	protein_coding	Tiparp	3	65332332	65359067
ENSMUSG00000037096	protein_coding	Gm9762	3	78770278	78770721
ENSMUSG00000043300	protein_coding	B3galnt1	3	69378108	69402783
ENSMUSG00000043461	protein_coding	1110032A04Rik	3	69623460	69663818
ENSMUSG00000046999	protein_coding	1110032F04Rik	3	68673508	68676085
ENSMUSG00000047557	protein_coding	Lxn	3	67261920	67267848
ENSMUSG00000048304	protein_coding	Slitrk3	3	72852048	72860865
ENSMUSG00000048416	protein_coding	Mlf1	3	67178019	67203925
ENSMUSG00000048916	pseudogene	Gm5540	3	65197259	65199106
ENSMUSG00000049404	protein_coding	Rarres1	3	67282894	67319445
ENSMUSG00000051777	protein_coding	Iqcj	3	67696142	67860515
ENSMUSG00000056023	protein_coding	Gm9989	3	81725190	81728385
ENSMUSG00000058360	pseudogene	Gm10040	3	68537059	68541999
ENSMUSG00000061175	protein_coding	Fnip2	3	79259893	79371718
ENSMUSG00000062200	protein_coding	Vmn2r7	3	64494582	64648687
ENSMUSG00000062232	protein_coding	Rapgef2	3	78866438	78985262
ENSMUSG00000064522	snRNA	U1	3	65892031	65892183
ENSMUSG00000064693	snRNA	U6	3	79000296	79000399
ENSMUSG00000065245	snRNA	U6	3	66859880	66859986
ENSMUSG00000065330	snRNA	U6	3	65575433	65575539
ENSMUSG00000065580	miRNA	Mir15b	3	68813678	68813775
ENSMUSG00000065606	miRNA	Mir16-2	3	68813824	68813918
ENSMUSG00000068957	protein_coding	4930589L23Rik	3	79372114	79376502
ENSMUSG00000068969	protein_coding	Rpl32-ps	3	69520908	69521315
ENSMUSG00000068999	protein_coding	Vmn2r5	3	64294743	64313657
ENSMUSG00000070443	protein_coding	Gm10291	3	78721130	78722380
ENSMUSG00000074517	protein_coding	Gm10710	3	82929198	82933168
ENSMUSG00000074579	protein_coding	Lekr1	3	65470150	65635084
ENSMUSG00000074580	protein_coding	4931440P22Rik	3	65311179	65333301
ENSMUSG00000074877	pseudogene	Gm10780	3	70493014	70493302
ENSMUSG00000077050	miRNA	AC131665.1	3	72950771	72950880
ENSMUSG00000077366	snoRNA	SNORA17	3	69766237	69766367
ENSMUSG00000077459	snoRNA	SNORA17	3	67377082	67377213
ENSMUSG00000077461	snRNA	U6	3	79638855	79638957
ENSMUSG00000077487	snoRNA	SNORA17	3	78783844	78783973
ENSMUSG00000082280	pseudogene	Gm7901	8	78235499	78237095
ENSMUSG00000084370	pseudogene	Gm15442	3	78290730	78292559
ENSMUSG00000084596	misc_RNA	7SK	3	83438499	83438796
ENSMUSG00000084617	snRNA	U2	3	68351442	68351630
ENSMUSG00000084752	snRNA	U2	3	72541753	72541903
ENSMUSG00000085106	antisense	Gm16000	3	80841330	80844359
ENSMUSG00000086273	antisense	4930564K09Rik	3	82680627	82747560
ENSMUSG00000087123	pseudogene	Gm6706	3	80203271	80203588
ENSMUSG00000087825	snRNA	U6	3	65329623	65329715
ENSMUSG00000087848	rRNA	5S_rRNA	3	69489389	69489502
